,section,gender,ageGroup,educationLvl,economicSituation,nationality,residence,leg_count,leg_0_activity,leg_0_distance,leg_0_mode,leg_0_departure,leg_0_arrival,leg_0_x,leg_0_y,leg_1_activity,leg_1_distance,leg_1_mode,leg_1_departure,leg_1_arrival,leg_1_x,leg_1_y,leg_2_activity,leg_2_distance,leg_2_mode,leg_2_departure,leg_2_arrival,leg_2_x,leg_2_y,leg_3_activity,leg_3_distance,leg_3_mode,leg_3_departure,leg_3_arrival,leg_3_x,leg_3_y,leg_4_activity,leg_4_distance,leg_4_mode,leg_4_departure,leg_4_arrival,leg_4_x,leg_4_y,leg_5_activity,leg_5_distance,leg_5_mode,leg_5_departure,leg_5_arrival,leg_5_x,leg_5_y,leg_6_activity,leg_6_distance,leg_6_mode,leg_6_departure,leg_6_arrival,leg_6_x,leg_6_y,leg_7_activity,leg_7_distance,leg_7_mode,leg_7_departure,leg_7_arrival,leg_7_x,leg_7_y,leg_8_activity,leg_8_distance,leg_8_mode,leg_8_departure,leg_8_arrival,leg_8_x,leg_8_y,leg_9_activity,leg_9_distance,leg_9_mode,leg_9_departure,leg_9_arrival,leg_9_x,leg_9_y,leg_10_activity,leg_10_distance,leg_10_mode,leg_10_departure,leg_10_arrival,leg_10_x,leg_10_y,leg_11_activity,leg_11_distance,leg_11_mode,leg_11_departure,leg_11_arrival,leg_11_x,leg_11_y,leg_12_activity,leg_12_distance,leg_12_mode,leg_12_departure,leg_12_arrival,leg_12_x,leg_12_y,leg_13_activity,leg_13_distance,leg_13_mode,leg_13_departure,leg_13_arrival,leg_13_x,leg_13_y,leg_14_activity,leg_14_distance,leg_14_mode,leg_14_departure,leg_14_arrival,leg_14_x,leg_14_y,leg_15_activity,leg_15_distance,leg_15_mode,leg_15_departure,leg_15_arrival,leg_15_x,leg_15_y,leg_16_activity,leg_16_distance,leg_16_mode,leg_16_departure,leg_16_arrival,leg_16_x,leg_16_y
22,131701011,Male,45-49,No education,Worker 3 sec,Portuguese,Live in Portugal,2,home,1422.38,car,01:02:00,01:27:00,-42426.07143852529,153220.6000212572,work,1422.38,car,05:27:00,05:52:00,-41852.302760850784,154018.46968460703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,131727024,Female,70-74,Undergradute+,Reformed,Portuguese,Live in Portugal,7,workout,3356.0,car,07:30:00,08:00:00,-37655.81418788786,158765.52435184453,home,3356.0,car,08:00:00,08:30:00,-40383.48040797073,161032.76568491728,doctor,15117.0,car,09:30:00,09:55:00,-54572.83533267712,160566.10473566147,personal_issues,1758.0,car,12:00:00,12:10:00,-45582.074712140064,148660.55075899768,home,13570.0,car,13:30:00,14:00:00,-40383.48040797073,161032.76568491728,visit_friend_family,3602.0,car,16:00:00,16:10:00,-37815.43695926961,163756.42571694183,home,3608.0,car,17:30:00,17:40:00,-40383.48040797073,161032.76568491728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,130812031,Male,70-74,1 Basic,Unemployed new,Portuguese,Live in Portugal,2,leasure_other,22222.0,car,08:00:00,09:00:00,-51265.33197711402,146723.1645814442,home,22222.0,car,18:00:00,19:00:00,-46775.40742928267,168469.64088329996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,130619010,Male,45-49,3 Basic,Reformed,Portuguese,Live abroad,2,work,1543.0,car,17:00:00,17:15:25,-39874.72612409571,172029.71731303883,home,1543.0,car,19:00:00,19:15:25,-39534.22647996676,171035.9848369809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,011319005,Female,70-74,1 Basic,Reformed,Portuguese,Live abroad,5,leasure_collective,7984.0,car,08:15:00,08:20:00,-27639.293215192545,140095.44274132466,groceries,2612.68,car,09:15:00,09:20:00,-33905.178338830236,144991.33763106176,home,8244.0,car,11:00:00,11:05:00,-30683.510411017844,133677.47639921468,leasure_sport_or_culural,7046.0,car,13:15:00,14:00:00,-26644.752407749456,127300.29859794705,home,7039.0,car,17:00:00,17:45:00,-30683.510411017844,133677.47639921468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,131503032,Female,40-44,Highschool,Inactive,Portuguese,Live in Portugal,2,work,21682.0,car,08:00:00,08:30:00,-51547.09635302816,159084.30748947183,home,21780.0,car,18:00:00,18:30:00,-35060.19052062865,173030.9800339279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,130814002,Female,30-34,1 Basic,Worker 3 sec,Portuguese,Live abroad,3,work,9818.0,car,08:00:00,08:40:00,-38778.15209551993,167914.21551599863,take_someone_somewhere,10250.0,car,18:00:00,18:40:00,-41714.764062810435,158594.52211420503,home,4718.0,car,19:00:00,19:20:00,-41959.67887272576,168621.53978785363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,130812032,Male,75+,1 Basic,Inactive,Portuguese,Live in Portugal,2,home,22222.0,car,00:15:00,00:30:00,-46050.15383827374,168369.78582263365,eat_out,22222.0,car,07:45:00,08:00:00,-33288.49684689639,150640.22509084857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,131437013,Male,35-39,3 Basic,Reformed,Portuguese,Live in Portugal,7,take_someone_somewhere,9213.0,car,08:00:00,08:15:00,-38082.876044300414,181195.37662267097,take_someone_somewhere,8389.0,car,08:15:00,08:45:00,-29468.430532383238,178016.57861712796,work,22222.0,car,09:00:00,09:40:00,-25418.62009841509,170944.29205913906,work,3884.0,car,13:30:00,13:45:00,-47632.4497563879,168623.13518307768,groceries,9835.0,car,16:00:00,16:20:00,-38740.60484919309,167696.0368243239,take_someone_somewhere,18678.0,car,17:00:00,17:30:00,-23361.22633775643,170500.50461444655,home,17907.0,car,18:00:00,18:40:00,-29306.69462192347,186402.91087120294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,011319002,Female,20-24,Undergradute+,Inactive,Portuguese,Live in Portugal,3,school,3105.0,car,07:15:00,07:30:00,-38934.04759898596,167982.89566757286,groceries,2790.0,car,18:20:00,18:40:00,-33905.178338830236,144991.33763106176,home,1380.0,car,19:20:00,19:22:00,-32396.910496505,135523.56136863978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,131634002,Female,40-44,Undergradute+,Inactive,Portuguese,Live in Portugal,4,take_someone_somewhere,9732.0,car,08:10:00,08:25:00,-57841.557197557515,188051.78271990942,work,22222.0,car,08:30:00,09:10:00,-56988.77552552179,177952.83376072336,take_someone_somewhere,22222.0,car,17:00:00,17:40:00,-68718.3567262804,195847.2831910623,home,7452.0,car,18:00:00,18:20:00,-48360.64323969609,187491.92629251856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,131628002,Female,75+,1 Basic,Worker 3 sec,Portuguese,Live in Portugal,2,groceries,948.0,car,14:00:00,14:20:00,-45091.5003386609,174385.73425114749,home,1089.0,car,16:30:00,16:50:00,-50675.40920850933,187293.89762357576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,010913007,Male,55-59,1 Basic,Inactive,Portuguese,Live in Portugal,2,work,5652.0,car,08:15:00,08:30:00,-32416.077022708134,153042.640276701,home,5652.0,car,18:15:00,18:40:00,-34556.514343860974,147058.45027082533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,130412001,Female,45-49,1 Basic,Unemployed new,Portuguese,Live in Portugal,3,work,761.0,car,07:15:00,07:25:00,-33585.43184545328,168716.77258245237,home,4670.0,car,17:00:00,17:20:00,-33958.21911841076,168016.50456378027,work,467.0,car,18:00:00,18:04:40,-33292.32525160079,169234.81644588307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,010917002,Female,25-29,No education,Worker 2 sec,Portuguese,Live in Portugal,2,work,3317.0,pt,09:20:00,09:40:00,-37814.96789747617,166492.58654550748,home,3317.0,pt,20:00:00,20:15:00,-38791.84051177095,148293.70065930852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,131217016,Male,35-39,3 Basic,Reformed,Portuguese,Live in Portugal,5,work,22222.0,car,07:50:00,08:35:00,-57225.163110966954,151894.20317895137,work,22222.0,car,13:20:00,15:05:00,-60023.64325587269,173690.3875384543,home,22222.0,car,18:15:00,19:00:00,-39859.053916073884,164665.63494227835,workout,232.42,car,19:10:00,19:30:00,-39991.02684303623,164931.4620903337,home,650.33,car,20:30:00,21:05:00,-39859.053916073884,164665.63494227835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,131810007,Male,25-29,3 Basic,Worker 2 sec,Portuguese,Live in Portugal,2,work,4793.0,car,08:00:00,08:20:00,-37814.96789747617,166492.58654550748,home,5383.0,car,17:00:00,17:15:00,-37059.715789297654,184208.41843762534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,131701005,Female,45-49,Undergradute+,Students,Portuguese,Live in Portugal,4,home,931.0,car,00:06:00,00:11:00,-43394.92432986181,155654.63927008782,work,22222.0,car,08:00:00,08:35:00,-42536.51320581618,133547.61044236785,home,22222.0,car,18:30:00,19:05:00,-43394.92432986181,155654.63927008782,groceries,931.0,car,19:30:00,19:40:00,-38740.60484919309,167696.0368243239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,131210024,Male,35-39,3 Basic,Worker 3 sec,Portuguese,Live in Portugal,2,groceries,22222.0,car,14:00:00,14:30:00,-33905.178338830236,144991.33763106176,home,22222.0,car,18:00:00,18:30:00,-40506.59744746727,167133.0159931172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,131728014,Female,75+,3 Basic,Domestic,Portuguese,Live in Portugal,2,personal_issues,12332.0,pt,08:30:00,09:25:00,-24105.375295702237,149815.12825852528,home,12872.0,pt,12:00:00,12:55:00,-34723.5473584059,156302.31687955803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,131701002,Female,25-29,1 Basic,Inactive,Portuguese,Live in Portugal,2,personal_issues,2849.0,car,11:00:00,11:05:00,-40759.35447914642,149987.0358839654,home,2811.0,car,12:00:00,12:05:00,-41974.696013425084,152890.11504841788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,011320003,Female,40-44,Highschool,Worker 2 sec,Portuguese,Live abroad,4,take_someone_somewhere,2922.0,car,08:50:00,08:58:00,-24785.78351840403,131685.5038591514,home,2182.0,car,09:00:00,09:08:00,-25772.0500626496,134854.98931116128,work,7785.0,car,17:45:00,18:00:00,-37814.96789747617,166492.58654550748,home,6335.0,car,19:00:00,19:15:00,-25772.0500626496,134854.98931116128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,131437008,Male,20-24,2 Basic,Worker 3 sec,Portuguese,Live in Portugal,2,work,19310.0,car,19:00:00,19:20:00,-16266.6942922769,170670.0748908949,home,19310.0,car,03:20:00,03:40:00,-28434.15305050141,185810.00597728183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,131405002,Female,20-24,3 Basic,Inactive,Portuguese,Live in Portugal,2,school,8127.0,pt,00:45:00,01:40:00,-28888.51925182598,186411.5549105489,home,8127.0,pt,06:40:00,07:35:00,-24395.079805517027,187617.56284857658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,131405006,Female,30-34,3 Basic,Reformed,Portuguese,Live in Portugal,4,work,1914.0,car,08:45:00,09:00:00,-21166.03964778374,189786.90892559953,home,1864.0,car,12:00:00,12:09:00,-22822.80931312023,189718.43302459788,work,1914.0,car,13:55:00,14:04:00,-20921.87859359269,190429.24608738217,home,1864.0,car,19:00:00,19:09:00,-22822.80931312023,189718.43302459788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
